subj_no,stim_cond,percept_acc,d-prime,c,beta,conf_resp,c_conf_resp,ic_conf_resp,percept_rt,conf_rt,threshold,exp_cond
6,5.0,0.4305555555555556,-0.618284453314251,-1.0738519004435125,1.9424419821725614,1.375,1.2258064516129032,1.4878048780487805,1142.75,385.25,3.407498835234531,noise_high
6,6.0,0.9027777777777778,2.678543726099809,0.253946954973146,1.974288386920069,2.625,2.6923076923076925,2.0,841.9583333333334,443.02777777777777,3.407498835234531,noise_low
6,7.0,0.5833333333333334,0.42517533815798647,-0.14290274876053755,0.9410502647339616,2.486111111111111,2.5238095238095237,2.433333333333333,1040.125,482.7916666666667,3.407498835234531,tilt_low
6,8.0,0.9166666666666666,3.1678321473117332,0.6164945075541657,7.049460715698645,2.7222222222222223,2.712121212121212,2.8333333333333335,1018.2361111111111,705.1527777777778,3.407498835234531,tilt_high
6,9.0,0.7569444444444444,1.4101564028722702,-0.1565559187380372,0.8019024345345346,2.486111111111111,2.5779816513761467,2.2,864.7847222222222,511.3263888888889,3.407498835234531,baseline
7,1.0,0.625,0.6481983579912187,-0.1843888801137472,0.8873457555311427,1.6805555555555556,1.5777777777777777,1.8518518518518519,760.6388888888889,274.05555555555554,3.920892944469301,size_low
7,2.0,0.7638888888888888,1.5160522073722162,0.32729880439065073,1.6424714264810376,2.7916666666666665,2.7636363636363637,2.8823529411764706,592.8611111111111,280.2916666666667,3.920892944469301,size_high
7,3.0,0.6805555555555556,1.0371064864201567,0.4488683228916227,1.592849019893593,2.6944444444444446,2.7551020408163267,2.5652173913043477,587.9722222222222,258.7916666666667,3.920892944469301,dur_low
7,4.0,0.6111111111111112,0.5894557978497783,0.29472789892488915,1.189733186322289,2.861111111111111,2.9545454545454546,2.7142857142857144,487.1388888888889,228.52777777777777,3.920892944469301,dur_high
7,5.0,0.4722222222222222,-0.1485111522329492,-0.35647172317898285,1.0543664090187934,1.0138888888888888,1.0294117647058822,1.0,672.2222222222222,228.97222222222223,3.920892944469301,noise_high
7,6.0,0.7638888888888888,1.4510899180239507,0.136089161162197,1.2183257860024341,2.7777777777777777,2.7818181818181817,2.764705882352941,612.3194444444445,266.1111111111111,3.920892944469301,noise_low
7,7.0,0.5833333333333334,0.42192644594437023,0.07125292409032301,1.0305199627056763,2.736111111111111,2.8095238095238093,2.6333333333333333,511.59722222222223,302.625,3.920892944469301,tilt_low
7,8.0,0.8055555555555556,1.7321312398880881,0.10135594615765697,1.1919156475823214,2.7916666666666665,2.913793103448276,2.2857142857142856,486.4166666666667,283.68055555555554,3.920892944469301,tilt_high
7,9.0,0.7013888888888888,1.0673205638458112,0.1408294682731761,1.1621946850676612,2.7430555555555554,2.801980198019802,2.604651162790698,522.5138888888889,260.4236111111111,3.920892944469301,baseline
8,1.0,0.5555555555555556,0.45593067506096296,0.9926750113168685,1.572380932344558,2.138888888888889,2.15,2.125,742.8333333333334,252.625,3.840583434780649,size_low
8,2.0,0.6527777777777778,1.0102119545994253,0.7155343715476374,2.060278929003332,2.2083333333333335,2.2127659574468086,2.2,783.5555555555555,271.125,3.840583434780649,size_high
8,3.0,0.5972222222222222,0.6119311482621701,0.661455991970616,1.498950991852097,2.111111111111111,2.116279069767442,2.103448275862069,650.7083333333334,426.8888888888889,3.840583434780649,dur_low
8,4.0,0.5555555555555556,0.33398237449092955,0.5977184865409223,1.220947796386156,2.1805555555555554,2.15,2.21875,1575.0555555555557,618.25,3.840583434780649,dur_high
8,5.0,0.5138888888888888,0.0902199235903054,0.7195997119912344,1.0670760357546045,2.1527777777777777,2.108108108108108,2.2,741.875,261.5138888888889,3.840583434780649,noise_high
