subject_ID,trial_no,stim_condition,answer,percept_resp,conf_resp,correct,percept_rt,conf_rt,stim_size,stim_dur,stim_contrast,stim_tilt_diff,text_stim_condition
24,208,9,0,0,4,1,626.0,282.0,150.0,100.0,0.75,2.508190700142546,baseline
24,209,1,1,0,2,0,879.0,339.0,75.0,100.0,0.75,2.508190700142546,size_low
24,210,5,1,1,3,1,655.0,301.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,211,9,0,1,3,0,936.0,286.0,150.0,100.0,0.75,2.508190700142546,baseline
24,212,2,1,1,3,1,734.0,268.0,225.0,100.0,0.75,2.508190700142546,size_high
24,213,7,0,0,3,1,564.0,219.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,214,6,1,0,4,0,516.0,305.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,215,6,0,0,4,1,507.0,291.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,216,7,0,0,4,1,586.0,373.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,217,9,0,1,3,0,1556.0,404.0,150.0,100.0,0.75,2.508190700142546,baseline
24,218,2,0,1,3,0,543.0,331.0,225.0,100.0,0.75,2.508190700142546,size_high
24,219,6,0,1,3,0,803.0,872.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,220,3,0,0,3,1,879.0,242.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,221,4,0,0,3,1,1439.0,383.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,222,3,0,0,3,1,680.0,284.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,223,5,1,1,1,1,928.0,330.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,224,2,1,1,2,1,1246.0,408.0,225.0,100.0,0.75,2.508190700142546,size_high
24,225,1,1,1,2,1,564.0,506.0,75.0,100.0,0.75,2.508190700142546,size_low
24,226,9,1,1,2,1,561.0,238.0,150.0,100.0,0.75,2.508190700142546,baseline
24,227,9,0,1,3,0,518.0,243.0,150.0,100.0,0.75,2.508190700142546,baseline
24,228,4,1,1,2,1,824.0,373.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,229,3,0,1,3,0,517.0,240.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,230,8,0,1,2,0,1554.0,256.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,231,1,0,1,1,0,1098.0,443.0,75.0,100.0,0.75,2.508190700142546,size_low
24,232,6,1,1,3,1,864.0,1234.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,233,6,1,1,2,1,694.0,421.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,234,6,0,0,3,1,555.0,299.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,235,6,1,0,3,0,1143.0,293.0,150.0,100.0,0.1,2.508190700142546,noise_low
