subj_no,stim_cond,percept_acc,d-prime,c,beta,conf,c_conf,ic_conf,percept_rt,conf_rt,threshold
2,5.0,0.75,1.3830638869573224,0.2238331443641528,1.3628465157055707,3.79,3.8533333333333335,3.6,709.43,362.03,5.730589747058029
2,6.0,0.67,0.8828593059592347,0.08297085972842355,1.0760012200718025,3.56,3.716417910447761,3.242424242424242,519.69,392.14,5.730589747058029
2,7.0,0.57,0.3584587932511938,-0.1792293966255969,0.9377739474311441,3.48,3.491228070175439,3.4651162790697674,632.51,465.22,5.730589747058029
2,8.0,0.79,1.613814447761599,0.03471400969211469,1.0576209198157829,3.7,3.810126582278481,3.2857142857142856,465.18,359.5,5.730589747058029
2,9.0,0.68,0.9925904490696915,0.3453260090380684,1.4088408842322278,3.75,3.9411764705882355,3.34375,472.81,401.95,5.730589747058029
2,10.0,0.65,0.784734986413067,-0.19047401406468267,0.8611628750304464,3.39,3.4461538461538463,3.2857142857142856,2206.84,502.42,5.730589747058029
2,11.0,0.67,0.8828593059592345,-0.08297085972842344,0.929366975934534,3.48,3.5522388059701493,3.3333333333333335,877.53,396.14,5.730589747058029
2,12.0,0.7,1.0558085348343216,-0.11544113797575611,0.8852512829444764,3.55,3.8142857142857145,2.933333333333333,522.32,354.08,5.730589747058029
2,13.0,0.56,0.3054807880993974,-0.1527403940496987,0.9544125525894855,3.62,3.5535714285714284,3.7045454545454546,3432.22,396.5,5.730589747058029
2,14.0,0.46,-0.2243827140200224,-0.470650150261205,1.1113836360956588,3.13,3.0869565217391304,3.1666666666666665,998.3,468.82,5.730589747058029
2,15.0,0.58,0.4239667921965708,-0.3124171166097553,0.8759428037008475,3.2,3.2758620689655173,3.0952380952380953,535.46,499.65,5.730589747058029
3,0.0,0.87,2.3204366481524468,0.24485323623340954,1.765027767885845,3.32,3.4482758620689653,2.4615384615384617,648.39,260.31,2.468460810121841
3,1.0,0.78,1.694014694986005,-0.4345442180515978,0.47896665824378704,2.95,3.0,2.772727272727273,819.73,274.19,2.468460810121841
3,2.0,0.98,4.107497821263646,2.220446049250313e-16,1.0000000000000009,3.04,3.0510204081632653,2.5,650.49,260.03,2.468460810121841
3,3.0,0.82,1.8360791167826673,0.07641832481841943,1.1506305429576051,2.65,2.7195121951219514,2.3333333333333335,732.97,282.98,2.468460810121841
3,4.0,0.83,2.13761510186807,-0.48596604366281865,0.3538761258980479,2.52,2.6265060240963853,2.0,649.03,261.3,2.468460810121841
3,5.0,0.79,1.663160848086172,-0.24873891677186982,0.6612040235894134,2.36,2.4936708860759493,1.8571428571428572,703.9,251.35,2.468460810121841
3,6.0,0.76,1.4155386195816018,-0.06442390439788392,0.9128401236765824,2.26,2.3421052631578947,2.0,700.25,264.71,2.468460810121841
3,7.0,0.74,1.2891440701113037,0.06173052778443561,1.0828316886924563,2.12,2.1486486486486487,2.0384615384615383,741.55,251.83,2.468460810121841
3,8.0,0.88,2.361870906359556,-0.10061611236482226,0.7884847064603236,3.01,3.159090909090909,1.9166666666666667,633.42,269.21,2.468460810121841
3,9.0,0.8,1.7007604460498404,-0.14407766018483287,0.7826719896794149,2.79,2.875,2.45,851.51,262.2,2.468460810121841
3,10.0,0.79,1.699387304774131,-0.3252931396790246,0.5753371674285545,2.06,2.189873417721519,1.5714285714285714,799.39,276.65,2.468460810121841
3,11.0,0.65,0.7943146208896942,-0.24618809494806987,0.8223815628005163,1.98,2.2153846153846155,1.542857142857143,842.52,288.57,2.468460810121841
3,12.0,0.85,2.090351879908904,-0.12981085211163806,0.7623493538477231,2.56,2.635294117647059,2.1333333333333333,713.64,267.67,2.468460810121841
3,13.0,0.75,1.3496479682330045,-0.03147857872358523,0.958404841660994,2.44,2.466666666666667,2.36,677.05,287.46,2.468460810121841
3,14.0,0.69,0.9920993118225493,0.028350856796766244,1.0285261606485716,1.82,1.9420289855072463,1.5483870967741935,824.71,264.43,2.468460810121841
3,15.0,0.59,0.4676987991145084,-0.2338493995572542,0.896397717507464,1.76,1.9322033898305084,1.5121951219512195,847.39,280.72,2.468460810121841
4,0.0,0.94,3.335300476176423,-0.3860986725436111,0.2758894363700747,3.05,3.148936170212766,1.5,1338.59,499.39,4.101140821169903
4,1.0,0.79,2.307096013767622,-0.9002009037480114,0.12532437327699908,2.44,2.6455696202531644,1.6666666666666667,1724.14,537.11,4.101140821169903
4,2.0,0.97,3.8811214686376942,-0.38578713972199363,0.22373639004328882,3.22,3.2577319587628866,2.0,1115.38,507.96,4.101140821169903
4,3.0,0.8,2.35922969873122,-0.8741340612662125,0.12716331954594087,2.56,2.8625,1.35,1415.04,492.95,4.101140821169903
4,4.0,0.85,2.261076157436941,-0.42423551587838304,0.3831882829941275,2.86,3.1058823529411765,1.4666666666666666,1378.37,503.35,4.101140821169903
4,5.0,0.74,1.4283338952018898,-0.46081984446514523,0.5177801211248857,2.56,2.77027027027027,1.9615384615384615,1784.97,483.07,4.101140821169903
4,6.0,0.86,2.326966808785538,-0.39129019020408434,0.4023152534204892,2.56,2.7325581395348837,1.5,1695.58,491.64,4.101140821169903
4,7.0,0.78,1.7635303535608267,-0.5233063835292195,0.39737824584586934,2.45,2.6923076923076925,1.5909090909090908,1557.4,449.62,4.101140821169903
4,8.0,0.99,4.380096784672664,-0.1362994817045089,0.5504578340046911,3.13,3.1515151515151514,1.0,1180.11,444.92,4.101140821169903
4,9.0,0.85,2.394031476645086,-0.5536703329296262,0.2656689737637269,2.63,2.835294117647059,1.4666666666666666,1416.0,495.21,4.101140821169903
4,10.0,0.87,2.969693279433758,-0.8415012343239618,0.08216707864811405,2.92,3.103448275862069,1.6923076923076923,1061.77,392.81,4.101140821169903
4,11.0,0.79,2.5282413531826915,-1.062227197449495,0.06818254215268332,2.33,2.518987341772152,1.619047619047619,1517.0,471.71,4.101140821169903
4,12.0,0.91,2.7297603866629436,-0.18989340126538168,0.5954942866359619,3.14,3.2857142857142856,1.6666666666666667,1210.53,471.63,4.101140821169903
4,13.0,0.8,2.109144864503363,-0.6961136390004877,0.2303386856682193,2.68,2.9,1.8,1443.01,486.22,4.101140821169903
4,14.0,0.73,1.6049271780615872,-0.7523100055660599,0.2989727717077553,2.37,2.643835616438356,1.6296296296296295,1455.09,474.89,4.101140821169903
4,15.0,0.65,0.9293501253181784,-0.6156442781558666,0.5643113803254666,2.27,2.5846153846153848,1.6857142857142857,1455.05,477.26,4.101140821169903
5,0.0,0.85,2.8507483867488816,-0.9009736806663999,0.07665432371859804,2.84,2.9058823529411764,2.466666666666667,334.45,534.96,2.921709725415934
5,1.0,0.63,0.8695060039666928,-0.7402337900827438,0.5253777639215529,2.61,2.8253968253968256,2.2432432432432434,382.11,563.95,2.921709725415934
