subj_no,stim_cond,stim_level,percept_acc,d-prime,c,beta,conf,c_conf,ic_conf,percept_rt,c_rt,ic_rt,conf_rt
5,2.0,1.0,0.67,1.2872391294981678,-0.8905009796034624,0.3178144027291846,2.4975,2.671641791044776,2.143939393939394,389.96,381.26679104477614,407.6098484848485,512.7375
5,3.0,0.0,0.76,2.0064549550063244,-0.8775661306480883,0.17190781396235608,2.625,2.8240131578947367,1.9947916666666667,368.5525,355.48355263157896,409.9375,508.99625
5,3.0,1.0,0.6275,0.9691544442777512,-0.9038729751802717,0.4164484848086813,2.5,2.6752988047808763,2.204697986577181,391.88875,370.0478087649402,428.68120805369125,529.155
6,0.0,0.0,0.82375,1.8596971238497328,0.014483474082052583,1.0273008977102616,2.88875,3.080424886191199,1.9929078014184398,935.5325,878.216995447648,1203.4113475177305,422.27875
6,0.0,1.0,0.765,1.4451494120253012,0.016272143172563147,1.0237943518101613,2.67875,2.8970588235294117,1.9680851063829787,959.97125,905.7826797385621,1136.372340425532,431.8325
6,1.0,0.0,0.8425,2.014908631888436,0.07286502487073787,1.1581412712115566,2.78375,2.992581602373887,1.6666666666666667,974.285,905.5044510385757,1342.2063492063492,432.525
6,1.0,1.0,0.74625,1.3259658376306165,-0.027325905117725646,0.9644153495189945,2.78375,2.9916247906197655,2.1724137931034484,921.21875,875.6683417085427,1055.1773399014778,421.58625
6,2.0,0.0,0.84625,2.042356578131102,-0.03694332861922589,0.927324750850491,2.9025,3.0768094534711965,1.943089430894309,944.1425,890.711964549483,1238.2276422764228,414.37125
6,2.0,1.0,0.7425,1.3040626888825657,0.0542712183988045,1.0733376267888883,2.665,2.8956228956228958,2.0,951.36125,892.3771043771044,1121.4417475728155,439.74
6,3.0,0.0,0.8425,2.0113075369301727,0.04156216105815197,1.0871877189848538,2.9775,3.1468842729970326,2.0714285714285716,873.2175,821.1557863501483,1151.7063492063492,414.125
6,3.0,1.0,0.74625,1.3254809991224943,-0.003902806825059335,0.9948402611297518,2.59,2.8174204355108876,1.9211822660098523,1022.28625,970.8961474036851,1173.4187192118227,439.98625
7,0.0,0.0,0.7125,1.6408281523219728,-0.9019698140917047,0.22764281859695454,2.415,2.443859649122807,2.3434782608695652,1405.27875,1155.578947368421,2024.1,697.42875
7,0.0,1.0,0.6725,1.1354542765298634,-0.699707278651973,0.45181357818728335,2.3525,2.412639405204461,2.2290076335877864,1316.24125,1185.0743494423791,1585.5839694656488,712.88875
7,1.0,0.0,0.7475,1.693077802558258,-0.7082346933177245,0.3014664824671339,2.47625,2.4949832775919734,2.4207920792079207,1248.11875,1146.928093645485,1547.6831683168316,681.89375
7,1.0,1.0,0.6375,1.0137450157475325,-0.86533130112496,0.41593541071248225,2.29125,2.350980392156863,2.1862068965517243,1473.40125,1196.8372549019607,1959.7724137931034,728.42375
7,2.0,0.0,0.71,1.463334267785194,-0.7630051159140235,0.327413450337343,2.41875,2.4788732394366195,2.271551724137931,1585.87875,1203.0739436619717,2523.0905172413795,625.97875
7,2.0,1.0,0.675,1.2393478466768761,-0.8024165087838819,0.36991827641315667,2.34875,2.3759259259259258,2.292307692307692,1135.64125,1135.0074074074073,1136.9576923076922,784.33875
7,3.0,0.0,0.73,1.6358014275840733,-0.7802924261307806,0.27903907182067683,2.39625,2.458904109589041,2.2268518518518516,1191.15375,1092.7174657534247,1457.2962962962963,688.7575
7,3.0,1.0,0.655,1.0874079305544169,-0.7970510684130081,0.42032811233655437,2.37125,2.395038167938931,2.3260869565217392,1530.36625,1255.921755725191,2051.413043478261,721.56
